Author,Title,Abstract,Keywords,Summary
Author's personal copy,A comprehensive overview of feature representation for biometric recognition,"The performance of any biometric recognition system heavily dependents on finding a good and suitable feature representation space where observations from different classes are well separated. Unfortunately, finding this proper representation is a challenging problem which has taken a huge interest in machine learning and computer vision communities. In the this paper we present a comprehensive overview of the different existing feature representation techniques. This is carried out by introducing simple and clear taxonomies as well as effective explanation of the prominent techniques. This is intended to guide the neophyte and provide researchers with state-of-the-art approaches in order to help advance the research topic in biometrics.","Feature selection, Laplacian Eigenmaps, Dimensionality reduction, Decomposition learning, Feature representation, Locally Linear Embedding, Biometrics, Isomap, nonlinear dimensionality reduction","The paper presents a comprehensive overview of nonlinear dimensionality reduction techniques, highlighting their advantages and limitations. It discusses the local and global approaches, and introduces several widely used techniques, including Isomap, Locally Linear Embedding, and Laplacian Eigenmaps."
Author1,A New Multi-Objective Evolutionary Algorithm ||| A Novel Evaluation Scheme using Formal Concept Analysis ||| Multifactorial Optimization: A Paradigm Inspired by Multifactorial Inheritance ||| Wrapper-Filter Feature Selection Algorithm Using A Memetic Framework,"In this paper we have proposed a new archive based steady state multi-objective genetic algorithm, which performs well, especially in higher dimensional space. An improved archive maintenance strategy has been introduced in this algorithm which is adaptive as well as dynamic in size. The archive maintenance strategy tries to maintain only the set of nondominated solutions in the archive. However, it maintains a minimum size of population when the nondominated solutions are not sufficient to fill the population. In this algorithm we have proposed a new environmental selection and a new mating selection. The mating selection reduces the exploration in less probable search region enhancing the exploitation of existing solutions. A new crossover operator DE-3 has also been proposed in this article. The proposed algorithm has been compared with three other existing multi-objective optimization algorithms NSGA-II, SPEA2 and AbYSS. Our algorithm outperforms the other three algorithms for its better diversity and convergence to true Pareto optimal front. ||| This paper presents a novel approach to automated performance evaluation of students using Formal Concept Analysis (FCA). The proposed system extracts a lattice of formal concepts from a Questions-Skills Table (QST) and uses it to evaluate students' performance in a Student Assessment Table (SAT). The system generates a Performance Table (PT) that shows students' performance in each Performance Parameter (PP). ||| The design of evolutionary algorithms has typically been focused on efficiently solving a single optimization problem at a time. Despite the implicit parallelism of population-based search, no attempt has yet been made to multitask, i.e., to solve multiple optimization problems simultaneously using a single population of evolving individuals. Accordingly, this paper introduces evolutionary multitasking as a new paradigm in the field of optimization and evolutionary computation. We first formalize the concept of evolutionary multitasking and then propose an algorithm to handle such problems. The methodology is inspired by bio-cultural models of multifactorial inheritance, which explain the transmission of complex developmental traits to offspring through the interactions of genetic and cultural factors. Furthermore, we develop a cross-domain optimization platform that allows one to solve diverse problems concurrently. The numerical experiments reveal several potential advantages of implicit genetic transfer in a multitasking environment. Most notably, we discover that the creation and transfer of refined genetic material can often lead to accelerated convergence for a variety of complex optimization functions. ||| This paper presents a hybrid genetic algorithm for feature selection, which combines the strengths of filter and wrapper methods. The algorithm uses a filter ranking method to select the most relevant features and a local search strategy to improve the solution. The authors investigate three different local search strategies and compare their performance on several benchmark and biological datasets.","Discrete Optimization, Constraint handling, genetic algorithms, Evolutionary Algorithms, Multifactorial Inheritance, Assessment, Evolutionary Multitasking, Automated Performance Evaluation, Pareto optimality, Performance Parameters, Memetic Algorithm, Gain Ratio, Filter Ranking Method, Wrapper, Multifactorial Optimization, Evaluation, Archive Truncation Technique, Learning, Filter, Formal Concept Analysis, Genetic Algorithm, Student Assessment, Continuous Optimization, Feature Selection, multi-objective optimization, Memetic Computation, Hybrid Genetic Algorithm, Local Search Strategy, Skills, Multi-Objective Evolutionary Algorithm, DE Crossover Operator, Chi-Square, Relief","This paper proposes a new archive based steady state genetic algorithm that performs well in higher dimensional space. The algorithm introduces an improved archive maintenance strategy, new environmental selection, and new mating selection. It also proposes a new crossover operator DE-3. The algorithm is compared with three existing multi-objective optimization algorithms and outperforms them in terms of diversity and convergence to the true Pareto optimal front. ||| The paper presents a novel evaluation scheme for a course that focuses on the various sets of learning skills required for each concept of the course. It employs Formal Concept Analysis on a complete set of questions prepared by experts covering all the concepts of a given course. ||| This paper introduces evolutionary multitasking as a new paradigm in the field of optimization and evolutionary computation. It proposes an algorithm to handle multiple optimization problems simultaneously using a single population of evolving individuals, inspired by bio-cultural models of multifactorial inheritance. The numerical experiments reveal several potential advantages of implicit genetic transfer in a multitasking environment. ||| The paper proposes a hybrid genetic algorithm for feature selection, which combines the strengths of filter and wrapper methods. The algorithm uses a filter ranking method to select the most relevant features and a local search strategy to improve the solution. The authors investigate three different local search strategies and compare their performance on several benchmark and biological datasets."
Author2,A New Multi-Objective Evolutionary Algorithm ||| A Novel Evaluation Scheme using Formal Concept Analysis ||| Multifactorial Optimization: A Paradigm Inspired by Multifactorial Inheritance ||| Wrapper-Filter Feature Selection Algorithm Using A Memetic Framework,"In this paper we have proposed a new archive based steady state multi-objective genetic algorithm, which performs well, especially in higher dimensional space. An improved archive maintenance strategy has been introduced in this algorithm which is adaptive as well as dynamic in size. The archive maintenance strategy tries to maintain only the set of nondominated solutions in the archive. However, it maintains a minimum size of population when the nondominated solutions are not sufficient to fill the population. In this algorithm we have proposed a new environmental selection and a new mating selection. The mating selection reduces the exploration in less probable search region enhancing the exploitation of existing solutions. A new crossover operator DE-3 has also been proposed in this article. The proposed algorithm has been compared with three other existing multi-objective optimization algorithms NSGA-II, SPEA2 and AbYSS. Our algorithm outperforms the other three algorithms for its better diversity and convergence to true Pareto optimal front. ||| This paper presents a novel approach to automated performance evaluation of students using Formal Concept Analysis (FCA). The proposed system extracts a lattice of formal concepts from a Questions-Skills Table (QST) and uses it to evaluate students' performance in a Student Assessment Table (SAT). The system generates a Performance Table (PT) that shows students' performance in each Performance Parameter (PP). ||| The design of evolutionary algorithms has typically been focused on efficiently solving a single optimization problem at a time. Despite the implicit parallelism of population-based search, no attempt has yet been made to multitask, i.e., to solve multiple optimization problems simultaneously using a single population of evolving individuals. Accordingly, this paper introduces evolutionary multitasking as a new paradigm in the field of optimization and evolutionary computation. We first formalize the concept of evolutionary multitasking and then propose an algorithm to handle such problems. The methodology is inspired by bio-cultural models of multifactorial inheritance, which explain the transmission of complex developmental traits to offspring through the interactions of genetic and cultural factors. Furthermore, we develop a cross-domain optimization platform that allows one to solve diverse problems concurrently. The numerical experiments reveal several potential advantages of implicit genetic transfer in a multitasking environment. Most notably, we discover that the creation and transfer of refined genetic material can often lead to accelerated convergence for a variety of complex optimization functions. ||| This paper presents a hybrid genetic algorithm for feature selection, which combines the strengths of filter and wrapper methods. The algorithm uses a filter ranking method to select the most relevant features and a local search strategy to improve the solution. The authors investigate three different local search strategies and compare their performance on several benchmark and biological datasets.","Discrete Optimization, Constraint handling, genetic algorithms, Evolutionary Algorithms, Multifactorial Inheritance, Assessment, Evolutionary Multitasking, Automated Performance Evaluation, Pareto optimality, Performance Parameters, Memetic Algorithm, Gain Ratio, Filter Ranking Method, Wrapper, Multifactorial Optimization, Evaluation, Archive Truncation Technique, Learning, Filter, Formal Concept Analysis, Genetic Algorithm, Student Assessment, Continuous Optimization, Feature Selection, multi-objective optimization, Memetic Computation, Hybrid Genetic Algorithm, Local Search Strategy, Skills, Multi-Objective Evolutionary Algorithm, DE Crossover Operator, Chi-Square, Relief","This paper proposes a new archive based steady state genetic algorithm that performs well in higher dimensional space. The algorithm introduces an improved archive maintenance strategy, new environmental selection, and new mating selection. It also proposes a new crossover operator DE-3. The algorithm is compared with three existing multi-objective optimization algorithms and outperforms them in terms of diversity and convergence to the true Pareto optimal front. ||| The paper presents a novel evaluation scheme for a course that focuses on the various sets of learning skills required for each concept of the course. It employs Formal Concept Analysis on a complete set of questions prepared by experts covering all the concepts of a given course. ||| This paper introduces evolutionary multitasking as a new paradigm in the field of optimization and evolutionary computation. It proposes an algorithm to handle multiple optimization problems simultaneously using a single population of evolving individuals, inspired by bio-cultural models of multifactorial inheritance. The numerical experiments reveal several potential advantages of implicit genetic transfer in a multitasking environment. ||| The paper proposes a hybrid genetic algorithm for feature selection, which combines the strengths of filter and wrapper methods. The algorithm uses a filter ranking method to select the most relevant features and a local search strategy to improve the solution. The authors investigate three different local search strategies and compare their performance on several benchmark and biological datasets."
Author3,Wrapper-Filter Feature Selection Algorithm Using A Memetic Framework,"This paper presents a hybrid genetic algorithm for feature selection, which combines the strengths of filter and wrapper methods. The algorithm uses a filter ranking method to select the most relevant features and a local search strategy to improve the solution. The authors investigate three different local search strategies and compare their performance on several benchmark and biological datasets.","Filter Ranking Method, Wrapper, Genetic Algorithm, Feature Selection, Hybrid Genetic Algorithm, Memetic Algorithm, Local Search Strategy, Chi-Square, Gain Ratio, Relief, Filter","The paper proposes a hybrid genetic algorithm for feature selection, which combines the strengths of filter and wrapper methods. The algorithm uses a filter ranking method to select the most relevant features and a local search strategy to improve the solution. The authors investigate three different local search strategies and compare their performance on several benchmark and biological datasets."
Avinash Chandra Pandey,Improved Gravitational Search Algorithm for COVID-19 Diagnosis,"This paper presents a novel variant of the gravitational search algorithm, improved gravitational search algorithm (IGSA), to enhance the vicinity to optimal solutions. The proposed variant is employed to obtain optimal clusters in the proposed clustering method for the CoVID19 diagnosis. An extensive experimental analysis of IGSA has been conducted against 16 metaheuristic algorithms over 17 standard benchmark functions belonging to unimodal and multimodal categories. The results are studied over four different dimensional settings, i.e. 10, 30, 50, and 90.","Clustering Method, Gravitational search algorithm, CoVID19 diagnosis, Clustering, Metaheuristic algorithm, COVID-19 Diagnosis, Metaheuristic Algorithms","This paper presents a new clustering method for the diagnosis of CoVID19 using medical images. The method employs a novel variant of a gravitational search algorithm to obtain optimal clusters. The performance of the proposed method is compared with recent metaheuristic algorithms using benchmark functions and publicly available CoVID19 medical images. The results demonstrate that the proposed method is outperforming in terms of accuracy, precision, sensitivity, specificity, and F1-score."
Avinash K. Shrivastava,Vulnerability Discovery Modeling for Open and Closed Source Software,"With growing concern for security, the researchers began with the quantitative modeling of vulnerabilities termed as vulnerability discovery models (VDM). These models aim at finding the trend of vulnerability discovery with time and facilitate the developers in patch management, optimal resource allocation and assessing associated security risks.","Vulnerability, Open Source, Ranking, Normalized Criteria Distance (NCD), Closed Source, Modeling, Prediction",This paper proposes a new vulnerability discovery model to capture a wide variety of datasets irrespective of their shape accounting for better goodness of fit. The proposed model has been evaluated on three real life datasets each for open and closed source software and the models are ranked based on their suitability to discover vulnerabilities using normalized criteria distance (NCD) technique.
Avraham Ben-Nun,Myelin-speciﬁc T cells also recognize neuronal autoantigen in a transgenic mouse model of multiple sclerosis,"We describe here the paradoxical development of spontaneous experimental autoimmune encephalomyelitis (EAE) in transgenic mice expressing a myelin oligodendrocyte glycoprotein (MOG)-speciﬁc T cell antigen receptor (TCR) in the absence of MOG. We report that in Mog-deﬁcient mice (Mog–/–), the autoimmune response by transgenic T cells is redirected to a neuronal cytoskeletal self antigen, neuroﬁlament-M (NF-M). Although components of radically different protein classes, the cross-reacting major histocompatibility complex I-Ab–restricted epitope sequences of MOG35–55 and NF-M18–30 share essential TCR contact positions. This pattern of cross-reaction is not speciﬁc to the transgenic TCR but is also commonly seen in MOG35–55–I-Ab–reactive T cells. We propose that in the C57BL/6 mouse, MOG and NF-M response components add up to overcome the general resistance of this strain to experimental induction of autoimmunity. Similar cumulative responses against more than one autoantigen may have a role in spontaneously developing human autoimmune diseases.",,"This study reports the unexpected finding that transgenic mice expressing a myelin oligodendrocyte glycoprotein (MOG)-specific T cell receptor (TCR) develop spontaneous experimental autoimmune encephalomyelitis (EAE) even in the absence of MOG. The researchers discovered that these mice redirect their autoimmune response to a neuronal cytoskeletal protein called neuroﬁlament-M (NF-M). This cross-reactivity between MOG and NF-M is mediated by shared TCR contact positions on their respective epitope sequences. The study suggests that cumulative responses against multiple autoantigens, such as MOG and NF-M, may contribute to the development of spontaneous autoimmune diseases in humans."
Ayush Aggarwal,Semi Supervised Graph Based Keyword Extraction Using Lexical Chains and Centrality Measures,"This paper proposes a semi-supervised graph-based keyword extraction algorithm using lexical chains and centrality measures. The algorithm first extracts nouns from each paragraph and creates lexical chains based on the similarity between words. The chains are then scored using two different methods, and the best chains are selected based on their scores. The selected chains are used to create a graph, and centrality measures are applied to identify the most central words as the extracted keywords.","Semi-supervised learning, small world approach, Graph-based keyword extraction, lexical chains, WordNet, Graph centrality, Word sense disambiguation, Centrality measures, keyword extraction, semantic similarity","The proposed algorithm uses a combination of lexical chains and centrality measures to extract keywords from a document. It first extracts nouns from each paragraph and creates lexical chains based on the similarity between words. The chains are then scored using two different methods, and the best chains are selected based on their scores. The selected chains are used to create a graph, and centrality measures are applied to identify the most central words as the extracted keywords."
B. Jayaram,QL-implications: Some properties and intersections,"In this paper, we attempt a systematic study of QL-implications. Towards this end, firstly, we investigate the conditions under which a QL-operation becomes a fuzzy implication without imposing any conditions on the underlying operations. Following this, we discuss the conditions under which this family satisfies some desirable algebraic properties. Based on the obtained results and existing characterization results, the intersections between QL-implications and the two most established families of fuzzy implications, viz., (S,N)- and R-implications are determined.","S-implication, fuzzy logic, R-implication, (S,N)-implication, t-norms, fuzzy sets, Fuzzy implication, QL-implication, t-conorms","This paper studies the family of QL-implications in fuzzy logic, without any restrictions on the underlying operations. Necessary and/or sufficient conditions on the underlying operations under which QL-implications satisfy some of the most desirable algebraic properties are proposed. A partial characterization of the intersections that exist between the family of QL-implications and the families of (S,N)- and R-implications is given."
B. Li,High-Energy-First (HEF) Heuristic for Energy-Efficient Target Coverage Problem,"Target coverage problem in wireless sensor networks is concerned with maximizing the lifetime of the network while continuously monitoring a set of targets. A sensor covers targets which are within the sensing range. For a set of sensors and a set of targets, the sensor-target coverage relationship is assumed to be known. A sensor cover is a set of sensors that covers all the targets. The target coverage problem is to determine a set of sensor covers with maximum aggregated lifetime while constraining the life of each sensor by its initial battery life. The problem is proved to be NP-complete and heuristic algorithms to solve this problem are proposed. In the present study, we give a unified interpretation of earlier algorithms and propose a new and efficient algorithm. We show that all known algorithms are based on a common reasoning though they seem to be derived from different algorithmic paradigms.  We also show that though some algorithms guarantee bound on the quality of the solution, this bound is not meaningful and not practical too.  Our interpretation provides a better insight to the solution techniques. We propose a new greedy heuristic which prioritizes sensors on residual battery life. We show empirically that the proposed algorithm outperforms all other heuristics in terms of quality of solution. Our experimental study over a large set of randomly generated problem instances also reveals that a very naïve greedy approach yields solutions which is reasonably (appx. 10%) close to the actual optimal solutions.","Network Lifetime, QoS constraints, connected coverage, sensing ranges, Target Coverage Problem, Greedy Heuristic, Wireless Sensor Networks, Energy-Efficiency, target coverage",The paper proposes a new heuristic algorithm for the energy-efficient target coverage problem in wireless sensor networks. The algorithm prioritizes sensors based on their residual battery life and is shown to outperform other heuristics in terms of quality of solution. The paper also provides a unified interpretation of earlier algorithms and shows that they are based on a common reasoning. The experimental study reveals that a naïve greedy approach yields solutions close to the actual optimal solutions.
B. Lipinski,Iris Detection,"For iris boundary detection, circular summation of intensity approach is used as proposed in [5]. The original grayscale image is blurred using median filter to remove external noise. After filtering, the contrast of image is enhanced to have sharp variation at image boundaries using histogram equalisation as shown in Figure 5(a). This contrast enhanced image is used for finding the outer iris boundary by drawing concentric circles (Figure 5(b) shows an example) of different radii from the pupil center and the intensities lying over the perimeter of the circle are summed up.","Adaptive Threshold, Circular Hough Transform, Spectrum Image, histogram equalisation, iris recognition, circular summation of intensity, Connected Components, Iris detection, pupil boundary, Iris Segmentation",The proposed system has been tested on two publicly available databases BATH and CASIA V3. From experimental analysis it has been observed that the system is capable of handling unconstrained scenarios as well. The system is capable of performing segmentation for unconstrained scenarios in significantly less time compared to Hough transform.
B. M. Mehtre,Detection and Prevention of ARP Poisoning,This paper presents a feasible technique to detect and prevent the ARP poisoning by removing the multiple entries for the same MAC address or IP address from the ARP table using a secondary cache.,"ICMP protocol, Network Security, Man-in-the-Middle, IP Exhaustion, secondary ARP cache, ARP Poisoning, Address Resolution Protocol, Cyber Defense, IP-MAC bindings, ICMP","The paper proposes a technique to detect and prevent ARP poisoning by using a secondary cache that contains entries according to ICMP responses. This approach prevents multiple entries for the same IP address or MAC address, mitigates IP exhaustion, and is distributed in nature, preventing single point failure."
B. Majhi,DWT based hybrid ARIMA-FLANN model for financial time series forecasting,"In this study, a DWT based hybrid ARIMA-FLANN model is introduced for financial time series forecasting. The most challenging task is to determine the exact nature of a real-world time series. ARIMA assumes linear data generation function, whereas FLANN is suitable for nonlinear financial time series. The DWT based hybrid method provides prior decomposition of time series data into low and high frequency components. So, that ARIMA is fitted on the high frequency linear part and FLANN is fitted on the low frequency nonlinear part. The final combined forecasts obtained for proposed hybrid method outperforms FLANN model.","FLANN, wavelet transform, financial time series forecasting, ARIMA, hybrid ARIMA-FLANN model, DWT","This paper introduces a DWT based hybrid ARIMA-FLANN model for financial time series forecasting. The model uses wavelet transform to decompose the time series into low and high frequency components, and then uses ARIMA and FLANN to forecast the linear and nonlinear parts of the time series, respectively. The results show that the proposed model outperforms the FLANN model in forecasting accuracy."
B. Pang,Sentiment Analysis of Training Programmes,"Sentiment analysis found various applications in banking, financial, service, and insurance sector. In order to increase return on investment, services industry needs to improve customer satisfaction at any cost.  In this regard, we proposed to analyze customer reviews on the basis of sentiment score. We analyzed a set of credible text reviews collected on 270 training programmes posted by 2688 participants in an organization. In order to evaluate the efficacy of the proposed approach, we computed correlation coefficient between sentiment score obtained from the unstructured reviews and the overall numerical rating assigned by all participants. Further, we employed visualization techniques to visualize different aspects of the programmes.","programme rating, Text Mining, Visualization, Training Programmes, participants' feedback, Customer Reviews, Sentiment analysis","The paper proposes a sentiment analysis approach to analyze customer reviews on the basis of sentiment score. The approach is divided into five sections: data collection, text preprocessing, sentiment score computation, evaluation, and visualization. The paper presents the results of the proposed approach and discusses the future directions of work."
B. Richhariya,Machine learning techniques for the diagnosis of Alzheimer’s disease: A review,"Alzheimer’s disease is an incurable neurodegenerative disease primarily affecting the elderly population. Efficient automated techniques are needed for early diagnosis of Alzheimers. Many novel approaches are proposed by researchers for classification of Alzheimer’s disease. However, to develop more efficient learning techniques, better understanding of the work done on Alzheimers is needed. Here, we provide a review on 165 papers from 2005-2019 using various feature extraction and machine learning techniques. The machine learning techniques are surveyed under three main categories: support vector machine (SVM), artificial neural network (ANN), and deep learning (DL) and ensemble methods.","Ensemble methods, Support vector machine, Deep learning, Alzheimer’s disease, classification, Artificial neural network, Machine learning","This paper provides a review of 165 papers on machine learning techniques for the diagnosis of Alzheimer’s disease from 2005-2019. The review covers three main categories: support vector machine (SVM), artificial neural network (ANN), and deep learning (DL) and ensemble methods. The paper discusses the importance of efficient automated techniques for early diagnosis of Alzheimers and the need for better understanding of the work done on Alzheimers to develop more efficient learning techniques."
B. Schneier,Secure Robust and Imperceptible Algorithm for Watermarking Relational Databases,"This paper proposes a secure robust and imperceptible algorithm for watermarking relational databases. The algorithm divides the embedding algorithm into three phases: Watermark preparator, watermark position detector, and watermark embedder. The ownership identification issue is resolved by embedding owner's identity as watermark in Preparator phase.","imperceptible algorithm, Ownership identification, robust algorithm, Relational Database, watermarking, Watermark, Copyright protection, Proof of ownership, relational databases","The paper proposes a new robust secure and imperceptible embedding mechanism to resolve the two important concerns namely; owner identification and proof of ownership. The proposed mechanism involves encoding and decoding on numerical attribute of relational database in three phases; 1)Watermark preparator, 2)Watermark position detector and 3) Watermark Embedder or Detector."
B. Subudhi,Dynamic Equations of Motion for a Multiple Flexible Links and Flexible Joints Manipulator,"The paper presents a dynamic modelling technique for a manipulator with multiple flexible links and flexible joints, based on a combined Euler–Lagrange formulation and assumed modes method. The resulting generalised model is validated through computer simulations by considering a simplified case study of a two-link flexible manipulator with joint elasticity.","Euler-Beam theory, Rayleigh's dissipation function, Flexible joint, Flexible links, Singular perturbation, Flexible joints, Manipulator dynamics, Flexible link, Manipulator","The paper presents a dynamic modelling technique for a manipulator with multiple flexible links and flexible joints, based on a combined Euler–Lagrange formulation and assumed modes method. The resulting generalised model is validated through computer simulations by considering a simplified case study of a two-link flexible manipulator with joint elasticity. Controlling such a manipulator is more complex than controlling one with rigid joints because only a single actuation signal can be applied at each joint and this has to control the flexure of both the joint itself and the link attached to it."
B. Uma Shankar,Active Support Vector Learning for Pixel Classification,"This paper presents an active support vector learning algorithm for pixel classification in remote sensing images. The algorithm is based on the principle of breaking down the large quadratic programming problem into a series of smaller problems, and identifying the support vectors while discarding the non-support vectors.","Semi-supervised learning, Pixel Classification, Query support vector machine, Active Learning, Support Vector Machine, Image segmentation, Transductive learning, Remote Sensing","The paper proposes an active support vector learning algorithm for pixel classification in remote sensing images, which uses a smaller number of labeled samples and has a substantial improvement in performance compared to the conventional support vector machine."
BACZY  NSKI,DISTRIBUTIVITY OF FUZZY IMPLICATIONS OVER NILPOTENT OR STRICT TRIANGULAR CONORMS,"Recently, many works have appeared in this very journal dealing with the distributivity of fuzzy implications over t-norms and t-conorms. These equations have a very important role to play in efficient inferencing in approximate reasoning, especially fuzzy control systems.","nilpotent conorms, fuzzy implication, t-norm, R-implication, t-conorm, fuzzy implications, triangular conorms, functional equations, strict conorms, Combs methods","This paper characterizes functions I that satisfy the functional equation when S1, S2 are either both strict or nilpotent t-conorms. Then, using these characterizations, it investigates the conditions under which the equation holds when I is an R-implication obtained from a strict t-norm."
BANERJEE ET AL,Design Space Exploration Using the AccelFPGA Compiler,This paper discusses the use of the AccelFPGA compiler to perform design space exploration of various area-performance tradeoffs. The compiler allows the user to use compiler directives to demarcate parts of the input source that are targeted for hardware synthesis and parts that are not. The paper presents a case study of a 16 tap FIR filter implemented using the AccelFPGA compiler and discusses the performance and area tradeoffs of the design.,"design space exploration, High level synthesis, MATLAB, area-performance tradeoffs, VHDL, FPGAs, RTL, AccelFPGA, Verilog, compiler, FIR filter",The paper presents a case study of a 16 tap FIR filter implemented using the AccelFPGA compiler and discusses the performance and area tradeoffs of the design. The compiler allows the user to use compiler directives to demarcate parts of the input source that are targeted for hardware synthesis and parts that are not. The paper also discusses the use of the compiler to perform high-level estimates of area and performance.
BANSHIDHAR MAJHI,NPReId Framework for Video Surveillance,"This paper presents a neuromorphic person re-identiﬁcation (NPReId) framework to establish the correspondence among individuals observed across two disjoint camera views. The proposed framework comprises three modules (observation, cognition, and contemplation), inspired by the form-and-color-and-depth (FACADE) theory model of object recognition system.","person re-identification, recognition, FACADE theory, Surveillance, video surveillance, consensus clustering, person re-identiﬁcation, NPReId","The proposed NPReId framework comprises three interactive modules – observation, cognition, and contemplation. The observation module suppresses the background and extracts the chromatic and texture details from the segmented pedestrian. The cognition module projects the psychological result of observation to learn the underlying pedestrian signature. The results of observation and cognition modules are forwarded to the contemplation module that recognizes the correct match for any individual."
BVL Narayana,Understanding Helicoverpa armigera Pest Population Dynamics related to Chickpea Crop Using Neural Networks,Insect pests are a major cause of crop loss globally. Pest management will be effective and efficient if we can predict the occurrence of peak activities of a given pest. Research efforts are going on to understand the pest dynamics by applying analytical and other techniques on pest surveillance data sets. In this study we make an effort to understand pest population dynamics using Neural Networks by analyzing  pest surveillance data set of Helicoverpa armigera or Pod borer on chickpea (Cicer arietinum L.)  crop. The results show that neural network method successfully predicts the pest attack incidences for one week in advance.,"Climatic Data, Pest Population Dynamics, Neural Networks, Pest Surveillance Databases, Chickpea Crop, Helicoverpa armigera, Neural Network, Pest Attack Prediction","The experimental results show that it is possible to predict the pest attack with high probability for one week in advance. These predictions would help the farmers in pest management programs by avoiding the crop losses with improved environment quality, as it can avoid unnecessary sprays of chemical pesticides."
Bach and Jordan,A Spectral Learning Based Model to Evaluate Semantic Textual Similarity,"Semantic Textual Similarity (STS) is a task in NLP that compares two sentences in a sentence-pair and scores the relationship between them using the degree of semantic equivalence. It has wide applicability in various fields. Consequently, the research around the task is constantly evolving. The demand for new as well as improved methods is endless. Numerous methods have been proposed that largely belong to either unsupervised or supervised learning approaches. The model proposed here is fairly simple and provides a fresh take on this classification problem using spectral learning. The model does not engage a large labeled corpus or lexical database like most STS supervised and unsupervised methods. Although, supervised STS methods achieve an accuracy that outperforms humans in some cases, but are often held back due to a lack of interpretation of the features instrumental in molding the decision-making process. The proposed model on the other hand generates features (latent knowledge) that are easy to ascertain and have a mathematical foundation. Given a sentence pair, the work focuses on finding latent states and variables from each sentence and performs classification by generating a similarity score. The latent variables are a result of projections learned by performing Canonical Correlation Analysis (CCA) amongst the sentence pair. To perform matching and determine the similarity score, Cosine similarity and Word Mover’s Distance (WMD) are employed. The performance of the proposed model does exhibit an improvement over various sophisticated supervised techniques such as LSTM and BiLSTM.","Natural Language Processing, Hidden Variables, Canonical Correlation Analysis, Word Mover’s Distance, Semantic Textual Similarity, Latent Variables, Latent State, Hidden state, Spectral Learning",This study aims to design a structure that can not only generate and evaluate latent/semantic components but also elevate their part in the learning process. The proposed model is a spectral learning based model that uses Canonical Correlation Analysis (CCA) to estimate the latent state from each sentence and employs Cosine Similarity and Word Mover’s Distance (WMD) to output a similarity score. The model does not require a large labeled dataset and is particularly suited for settings where labeled data is scarce. The process of learning the latent state from a sentence pair is transparent and has a mathematical grounding.
Baidya Kayal,Non-invasive intravoxel incoherent motion MRI in prediction of histopathological response to neoadjuvant chemotherapy and survival outcome in osteosarcoma at the time of diagnosis,"This study evaluates the effectiveness of chemotherapy in patients with osteosarcoma and its impact on long-term survival outcome. The study includes 11 patients who underwent neoadjuvant chemotherapy (NACT) and were followed up for a median of 4.5 years. The results show that patients who responded well to NACT had better overall survival and event-free survival compared to those who did not respond well. The study also found that certain imaging parameters, such as ADC and D*, were associated with chemotherapy response and survival outcome.","Chemotherapy response evaluation, neoadjuvant chemotherapy, chemotherapy, long-term survival outcome, Osteosarcoma, Biomarkers, imaging parameters, Intravoxel incoherent motion, Survival outcome, Diffusion weighted imaging",This study aimed to evaluate the predictive value of IVIM MRI for response to neoadjuvant chemotherapy and survival outcome in osteosarcoma. The results showed that IVIM parameters obtained with a 1.5T scanner along with novel BETV method and their histogram analysis indicating tumour heterogeneity were informative in characterizing NACT response and survival outcome in osteosarcoma.
